px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.03844	-3.66927	2.94905	-1.40862	0.435236	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0
7.09779	-3.86639	3.01045	-1.36016	0.460762	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	47.5437
7.13411	-4.15848	3.15061	-1.35855	0.440117	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0
7.17605	-4.36431	3.19175	-1.33561	0.441943	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	26.5625
7.24217	-4.65306	3.31859	-1.3169	0.433814	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0
7.35029	-4.84213	3.37554	-1.24894	0.484477	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	31.9007
7.44925	-5.10724	3.48858	-1.21854	0.483411	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0
7.51657	-5.31082	3.50727	-1.202	0.467291	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	21.212
7.65213	-5.57081	3.59785	-1.15909	0.473861	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0
7.71347	-5.76704	3.59964	-1.15394	0.44582	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	12.456
7.84555	-6.01978	3.67477	-1.11997	0.447493	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0
7.92086	-6.21106	3.67281	-1.11208	0.423493	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	9.00854
8.06924	-6.43906	3.72766	-1.07355	0.43111	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0
8.13555	-6.60701	3.71461	-1.07441	0.399584	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	11.2372
8.26353	-6.81347	3.75905	-1.04787	0.401119	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0
8.36561	-6.9839	3.76611	-1.02816	0.398654	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	2.83591
8.49473	-7.18236	3.80266	-1.00456	0.398454	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0
8.57149	-7.35661	3.77078	-1.01417	0.354343	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	29.96
8.70105	-7.5529	3.79142	-0.992538	0.354435	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0
8.78386	-7.71127	3.77349	-0.992365	0.330841	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	8.36863
8.89091	-7.88883	3.78762	-0.980106	0.32577	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0
8.95274	-8.05333	3.74013	-0.999001	0.278652	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	35.2602
9.06253	-8.22849	3.74124	-0.985639	0.276786	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0
9.14359	-8.38326	3.72166	-0.9885	0.25533	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	7.6371
9.22648	-8.54666	3.71988	-0.986255	0.245872	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0
9.28966	-8.71172	3.6757	-1.00612	0.203992	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	30.9802
9.37524	-8.87561	3.66376	-1.0026	0.197611	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0
9.49085	-9.03105	3.68075	-0.980433	0.213782	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	5.77074
9.56569	-9.19009	3.67454	-0.982898	0.202194	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0
9.62633	-9.33704	3.63688	-0.998497	0.170838	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	20.7821
9.69818	-9.48194	3.62268	-0.998782	0.163389	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0
9.75118	-9.6274	3.58453	-1.0169	0.132176	9.47534	-9.42627	9.55	-9.5	0	-3.00023	19.0822
9.79456	-9.78221	3.56754	-1.03165	0.113558	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0
9.86248	-9.93437	3.55001	-1.04045	0.0966803	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	4.28855
9.90137	-10.0871	3.53149	-1.05635	0.0785777	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0
9.94004	-10.2503	3.48789	-1.08604	0.0385465	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	24.8717
9.98984	-10.3989	3.46191	-1.09492	0.0289293	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0
10.0334	-10.552	3.4361	-1.11677	0.00120124	9.92627	-10.4745	9.75	-10.3	0	-3.00065	10.0922
10.052	-10.6977	3.41174	-1.13832	-0.0178321	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0
10.0953	-10.8623	3.38855	-1.15859	-0.039734	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	6.92434
10.122	-11.0152	3.36229	-1.17699	-0.0542513	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0
10.1365	-11.1836	3.32708	-1.21623	-0.0968057	9.88465	-10.9383	9.85	-10.9	0	-2.73074	17.5055
10.1426	-11.3356	3.2979	-1.24215	-0.115364	9.83614	-11.041	9.85	-11.05	0	-2.73073	0
10.1524	-11.4875	3.27335	-1.27452	-0.14611	9.83952	-11.1692	9.85	-11.2	0	-2.99965	8.27202
10.1426	-11.6269	3.24658	-1.30377	-0.165881	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0
10.1466	-11.7812	3.22734	-1.33695	-0.194636	9.87961	-11.5637	9.85	-11.5	0	-2.99843	5.76112
10.1266	-11.919	3.20077	-1.36905	-0.214935	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0
10.0625	-12.0765	3.15787	-1.45026	-0.298667	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	39.4943
10.0309	-12.2023	3.12723	-1.48352	-0.316089	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0
9.9924	-12.3522	3.10643	-1.53495	-0.357566	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	8.88255
9.94097	-12.4809	3.07928	-1.57628	-0.379359	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0
9.8621	-12.6315	3.05543	-1.65544	-0.450654	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	19.2803
9.8022	-12.7458	3.02466	-1.69696	-0.469373	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0
9.67266	-12.8838	2.99664	-1.80663	-0.57053	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	33.8093
9.59376	-12.9855	2.96467	-1.85429	-0.589965	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0
