px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.57411	-5.09444	-2.7293	2.40321	0.672743	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	2.25414
7.62332	-5.26088	-2.73074	2.37603	0.608795	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	4.09213
7.71661	-5.37978	-2.72761	2.39155	0.589649	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	1.14384
7.77937	-5.53061	-2.72736	2.37539	0.54155	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	2.24622
7.86343	-5.64556	-2.71479	2.38409	0.519398	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.94976
7.91259	-5.80626	-2.71204	2.3535	0.461247	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	3.25339
8.01879	-5.91695	-2.741	2.38102	0.471011	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	9.4355
8.07132	-6.06832	-2.74413	2.35218	0.418979	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	2.63621
8.16795	-6.1877	-2.74199	2.3616	0.404178	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.12594
8.24131	-6.33386	-2.74386	2.34601	0.366784	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	1.28442
8.32824	-6.44948	-2.73465	2.3506	0.35053	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.18181
8.38459	-6.60902	-2.73476	2.31839	0.300072	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	2.23764
8.4753	-6.72601	-2.73251	2.32509	0.290645	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.549174
8.54252	-6.87074	-2.73188	2.3052	0.255737	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	1.06029
8.61894	-6.97804	-2.72529	2.30597	0.243262	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.740892
8.66603	-7.12459	-2.72586	2.2732	0.199634	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	1.72159
