px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.0001	0	0	0	0	0	0	0	0	0	0	0
0.177457	-0.250918	0	0	0	0	0	0	0	0	0	1.80429
1.5259	-0.125119	0.152914	-1.83276e-33	3.66552e-33	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
1.61517	0.0195874	1.33006	-0.077497	-0.0455864	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	25.4073
3.8536	-0.132941	1.45187	0.0097325	0.0215646	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0
3.9335	0.0637942	1.94682	0.392752	0.228617	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	11.204
6.72126	0.358355	2.4474	-0.15792	-0.143931	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0
6.66937	0.409029	2.48617	-0.0641386	-0.0375154	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.11233
9.05494	0.587969	2.52979	0.204714	0.166521	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0
9.02685	0.654563	2.57967	0.227196	0.154654	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.3144
11.5372	1.65407	2.69977	0.47349	0.206594	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0
11.5208	1.61735	2.70733	0.440469	0.168722	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.456868
13.6113	2.32929	2.60347	0.356216	0.0101972	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0
13.6205	2.29195	2.62483	0.319509	-0.0321449	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.612994
16.578	2.89063	2.79657	0.054066	-0.178124	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0
16.524	2.88437	2.81144	0.0720503	-0.154206	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.850356
19.003	3.69485	2.8061	0.40724	0.155275	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0
19.0717	3.72004	2.77822	0.453553	0.217253	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.455
21.3239	4.73367	2.77517	0.45747	0.0811678	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0
21.3851	4.73952	2.84827	0.393275	-0.0128522	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.959125
24.0491	5.56346	2.91544	0.214278	-0.117959	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0
24.1573	5.60002	3.03951	0.205252	-0.119705	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.50551
26.605	6.95027	3.03924	0.622812	0.221545	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0
26.5955	6.93453	3.10219	0.533965	0.0747617	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.298687
29.5396	8.07318	3.1875	0.252994	-0.157727	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0
29.5332	8.07508	3.16472	0.254429	-0.158281	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.0646244
31.9453	9.86668	3.16122	0.805145	0.296999	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0
31.9028	9.83982	3.17851	0.751239	0.21366	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.716135
34.6378	10.7558	2.86716	0.26073	-0.233813	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	0
34.724	10.7881	2.97024	0.248118	-0.230671	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.2959
37.1409	12.0767	2.97389	0.556383	0.117744	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0
37.2183	12.0935	3.06564	0.496004	0.00909254	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.77736
40.2736	13.4448	3.21365	0.318685	-0.112938	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0
40.2176	13.4295	3.15536	0.327979	-0.108102	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0.925962
42.7618	14.8212	3.17467	0.563461	0.111784	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0
42.7409	14.811	3.21673	0.525278	0.0476718	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.262201
45.3363	16.5402	3.29059	0.60486	0.0665393	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0
45.3877	16.5569	3.30344	0.595635	0.0596275	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.751733
48.1611	17.3014	3.19937	0.157347	-0.260424	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0
48.1372	17.2852	3.10762	0.105685	-0.359946	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.546673
50.6408	19.0488	2.96878	0.75879	0.287948	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	0
50.6159	19.0235	3.0259	0.665015	0.136891	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.469653
53.6835	19.8933	3.01437	0.043706	-0.359461	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	0
53.657	19.8825	2.99404	0.0393379	-0.374728	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.231343
56.0721	21.0658	2.79302	0.466354	0.137522	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	0
56.0348	21.0494	2.78788	0.450227	0.12422	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.441883
58.643	21.7816	2.82682	0.183702	-0.128811	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0
58.6442	21.789	2.87846	0.216352	-0.0756828	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.125223
60.8805	22.7818	2.83687	0.472479	0.134182	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0
60.8524	22.7711	2.82236	0.471018	0.136512	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.230783
63.3711	23.4117	2.82117	0.165339	-0.144374	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0
63.4549	23.4366	2.78406	0.117265	-0.211626	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.11042
66.2992	23.986	2.87582	0.24408	0.00844309	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0
66.2174	23.9526	2.68114	0.16428	-0.108899	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.72753
68.2774	24.3577	2.63215	0.163302	-0.0405929	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0
68.3585	24.3883	2.6508	0.1798	-0.0296009	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.89823
70.8091	24.8789	2.69996	0.222298	0.0156286	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0
70.779	24.8626	2.56577	0.163703	-0.0731405	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.832549
72.901	24.7209	2.54972	-0.164456	-0.233569	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0
72.9472	24.7343	2.54523	-0.182558	-0.271306	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.656821
75.0546	25.2224	2.25513	0.207319	0.138415	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0
75.0309	25.2164	2.20755	0.186101	0.107992	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.186981
